Train_size;Center_size;Kernel;Points_distribution;Best_epoch;Linf_Loss;Poly_degree;Trained_shapes;Trained_centers;Starting_shape;Trained_coefficients
15;5;gaussian_kernel;Equi;48547;9.268522262573242e-06;-1;1.4149115085601807, 3.2970256028368866e-14, 0.8071794509887695, 1.3334704637527466, 0.8098133206367493;-0.44627854228019714, 0.8298219442367554, 0.46899402141571045, 1.4343701601028442, 0.4691368043422699;1;
15;5;gaussian_kernel;Equi;47432;5.650520324707031e-05;-1;0.660852313041687, 4.1119027080975964e-21, -2.8094864175613376e-29, 1.5974802493302915e-43, 0.6605271697044373;-0.30777421593666077, -0.30013659596443176, 0.8826740384101868, 0.25115641951560974, 1.3062772750854492;1;
15;5;gaussian_kernel;Equi;47158;5.929995313636027e-05;-1;0.6968563199043274, -8.19759601630018e-43, 0.6532324552536011, 0.4643958508968353, -1.6296967671912554e-18;1.3856348991394043, 1.322281002998352, -0.30554547905921936, 0.6671746373176575, 1.213639497756958;1;
15;5;gaussian_kernel;Equi;38857;0.00066375732421875;-1;-3.707784589187095e-21, -3.615952035778302e-38, 0.2119951695203781, 0.2119956910610199, 0.2119961678981781;0.6387216448783875, 0.42534786462783813, 0.5001868009567261, 0.5001845359802246, 0.500182569026947;1;
15;5;gaussian_kernel;Equi;42567;5.3882598876953125e-05;-1;2.9722599657507127e-34, 0.6897870898246765, 0.6598314642906189, 0.46806058287620544, 3.739833505105003e-25;-0.12401777505874634, -0.3727273941040039, 1.314115285873413, 0.38210949301719666, 1.365078091621399;1;
15;5;gaussian_kernel;Equi;42656;5.694478750228882e-05;-1;0.6881582140922546, -1.437443202390986e-14, 7.081181529772598e-39, 0.46847638487815857, 0.662356972694397;-0.37521815299987793, 1.0295867919921875, -0.28485167026519775, 0.41069239377975464, 1.3255281448364258;1;
15;5;gaussian_kernel;Equi;45843;9.611248970031738e-06;-1;0.8155539631843567, 1.4185435771942139, 1.4932784413616733e-25, 1.4398542642593384, 0.7916809320449829;0.502968430519104, 1.4141416549682617, 0.2562424838542938, -0.41513994336128235, 0.4848595857620239;1;
15;5;gaussian_kernel;Equi;46395;5.561858415603638e-05;-1;0.47048574686050415, 0.6870211362838745, 0.6654394865036011, -3.3196760619854916e-42, -1.1495271692395772e-40;0.4284866750240326, -0.37037771940231323, 1.3269069194793701, -0.2489107847213745, -0.0575253963470459;1;
15;5;gaussian_kernel;Equi;49778;5.61252236366272e-05;-1;-3.733266484588071e-25, 0.6607529520988464, 9.833544765419641e-30, 1.4123978775299466e-29, 0.6598409414291382;-0.1660234034061432, -0.3099643886089325, 1.4786055088043213, 1.3970292806625366, 1.3062137365341187;1;
15;5;gaussian_kernel;Equi;24202;0.0007306784391403198;-1;0.21160197257995605, 0.21160154044628143, -7.286752014489049e-44, 0.21160024404525757, 1.1210387714598537e-44;0.5008414387702942, 0.5008418560028076, 0.622991681098938, 0.5008432269096375, 0.49908876419067383;1;
